id;lien_vers_la_fiche_pat;nom;regions;departements;code_insee;gouvernance;gouvernance_est_territoire_ressource;democratie_alimentaire;democratie_alimentaire_1_nom_de_laction;democratie_alimentaire_1_etat_davancement;democratie_alimentaire_1_est_ressource;democratie_alimentaire_1_resultat_attendu;democratie_alimentaire_1_resultat_atteint;democratie_alimentaire_1_descriptif;democratie_alimentaire_2_nom_de_laction;democratie_alimentaire_2_etat_davancement;democratie_alimentaire_2_est_ressource;democratie_alimentaire_2_resultat_attendu;democratie_alimentaire_2_resultat_atteint;democratie_alimentaire_2_descriptif;democratie_alimentaire_3_nom_de_laction;democratie_alimentaire_3_etat_davancement;democratie_alimentaire_3_est_ressource;democratie_alimentaire_3_resultat_attendu;democratie_alimentaire_3_resultat_atteint;democratie_alimentaire_3_descriptif;democratie_alimentaire_4_nom_de_laction;democratie_alimentaire_4_etat_davancement;democratie_alimentaire_4_est_ressource;democratie_alimentaire_4_resultat_attendu;democratie_alimentaire_4_resultat_atteint;democratie_alimentaire_4_descriptif;democratie_alimentaire_5_nom_de_laction;democratie_alimentaire_5_etat_davancement;democratie_alimentaire_5_est_ressource;democratie_alimentaire_5_resultat_attendu;democratie_alimentaire_5_resultat_atteint;democratie_alimentaire_5_descriptif;groupes_de_concertation_thematiques_perennes;groupes_de_concertation_thematiques_perennes_1_nom_de_laction;groupes_de_concertation_thematiques_perennes_1_etat_davancement;groupes_de_concertation_thematiques_perennes_1_est_ressource;groupes_de_concertation_thematiques_perennes_1_resultat_attendu;groupes_de_concertation_thematiques_perennes_1_resultat_atteint;groupes_de_concertation_thematiques_perennes_1_descriptif;groupes_de_concertation_thematiques_perennes_2_nom_de_laction;groupes_de_concertation_thematiques_perennes_2_etat_davancement;groupes_de_concertation_thematiques_perennes_2_est_ressource;groupes_de_concertation_thematiques_perennes_2_resultat_attendu;groupes_de_concertation_thematiques_perennes_2_resultat_atteint;groupes_de_concertation_thematiques_perennes_2_descriptif;groupes_de_concertation_thematiques_perennes_3_nom_de_laction;groupes_de_concertation_thematiques_perennes_3_etat_davancement;groupes_de_concertation_thematiques_perennes_3_est_ressource;groupes_de_concertation_thematiques_perennes_3_resultat_attendu;groupes_de_concertation_thematiques_perennes_3_resultat_atteint;groupes_de_concertation_thematiques_perennes_3_descriptif;groupes_de_concertation_thematiques_perennes_4_nom_de_laction;groupes_de_concertation_thematiques_perennes_4_etat_davancement;groupes_de_concertation_thematiques_perennes_4_est_ressource;groupes_de_concertation_thematiques_perennes_4_resultat_attendu;groupes_de_concertation_thematiques_perennes_4_resultat_atteint;groupes_de_concertation_thematiques_perennes_4_descriptif;groupes_de_concertation_thematiques_perennes_5_nom_de_laction;groupes_de_concertation_thematiques_perennes_5_etat_davancement;groupes_de_concertation_thematiques_perennes_5_est_ressource;groupes_de_concertation_thematiques_perennes_5_resultat_attendu;groupes_de_concertation_thematiques_perennes_5_resultat_atteint;groupes_de_concertation_thematiques_perennes_5_descriptif;modalites_dimplication_du_grand_public_perennes;modalites_dimplication_du_grand_public_perennes_1_nom_de_laction;modalites_dimplication_du_grand_public_perennes_1_etat_davancement;modalites_dimplication_du_grand_public_perennes_1_est_ressource;modalites_dimplication_du_grand_public_perennes_1_resultat_attendu;modalites_dimplication_du_grand_public_perennes_1_resultat_atteint;modalites_dimplication_du_grand_public_perennes_1_descriptif;modalites_dimplication_du_grand_public_perennes_2_nom_de_laction;modalites_dimplication_du_grand_public_perennes_2_etat_davancement;modalites_dimplication_du_grand_public_perennes_2_est_ressource;modalites_dimplication_du_grand_public_perennes_2_resultat_attendu;modalites_dimplication_du_grand_public_perennes_2_resultat_atteint;modalites_dimplication_du_grand_public_perennes_2_descriptif;modalites_dimplication_du_grand_public_perennes_3_nom_de_laction;modalites_dimplication_du_grand_public_perennes_3_etat_davancement;modalites_dimplication_du_grand_public_perennes_3_est_ressource;modalites_dimplication_du_grand_public_perennes_3_resultat_attendu;modalites_dimplication_du_grand_public_perennes_3_resultat_atteint;modalites_dimplication_du_grand_public_perennes_3_descriptif;modalites_dimplication_du_grand_public_perennes_4_nom_de_laction;modalites_dimplication_du_grand_public_perennes_4_etat_davancement;modalites_dimplication_du_grand_public_perennes_4_est_ressource;modalites_dimplication_du_grand_public_perennes_4_resultat_attendu;modalites_dimplication_du_grand_public_perennes_4_resultat_atteint;modalites_dimplication_du_grand_public_perennes_4_descriptif;modalites_dimplication_du_grand_public_perennes_5_nom_de_laction;modalites_dimplication_du_grand_public_perennes_5_etat_davancement;modalites_dimplication_du_grand_public_perennes_5_est_ressource;modalites_dimplication_du_grand_public_perennes_5_resultat_attendu;modalites_dimplication_du_grand_public_perennes_5_resultat_atteint;modalites_dimplication_du_grand_public_perennes_5_descriptif
1273;https://france-pat.fr/pat/pat-de-vichy-communaute/;"PAT de Vichy Communauté";Auvergne-Rhône-Alpes;Allier;03006,03201,03023,03008,03056,03236,03252,03139,03157,03044,03060,03125,03141,03174,03271,03029,03045,03093,03126,03224,03304,03094,03110,03273,03095,03258,03306,03080,03001,03033,03113,03163,03050,03066,03165,03310,03068,03248,03264;oui;oui;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;oui;"Groupes interPAT départemental";"Action en cours";oui;;;"Groupe de travail et d'actions entre PAT du département : organisation d'actions en communs: évènementiel, groupe de travail foncier,...";;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1274;https://france-pat.fr/pat/pat-de-saint-pourcain-sioule-limagne/;"PAT de la CC Saint-Pourçain Sioule Limagne";Auvergne-Rhône-Alpes;Allier;03018,03114,03164,03277,03083,03115,03148,03278,03294,03116,03133,03149,03166,03182,03295,03311,03021,03053,03134,03022,03038,03118,03135,03281,03152,03267,03089,03204,03220,03268,03188,03237,03043,03059,03075,03107,03254,03302,03108,03255,03061,03077,03109,03175,03030,03062,03078,03160,03176,03192,03209,03242,03016,03096,03112,03194,03227,03307,03049,03276;oui;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;oui;"Evènement annuel grand public “A travers Champs”";"Action en cours";non;"sensibilisation du grand public à l'importance d'une alimentation saine et équilibrée (3500 visiteurs en 2023, 2500 en 2024)";;"Depuis 2021, La communauté de communes organise sur son territoire un évènement communautaire “A Travers Champs”. Cet évènement, grand public, a vocation à promouvoir les producteurs, agriculteurs et artisans du territoire. Au delà de l’aspect promotion, cet évènement est également l’occasion pour le Projet Alimentaire Territorial, d’organiser des animations en lien avec l’éducation alimentaire, la santé, la consommation locale à destination d’une multiplicité de publics : jeu des quatre saisons, découverte des légumineuses, enquête conso, ateliers cuisine et goûter équilibré avec Interfel, découverte de la ruche, quizz sur l'agriculture...
Cet évènement est plus généralement l'occasion de partir à la rencontre du grand public pour des échanges autour des pratiques alimentaires, de la connaissance de l'agriculture et des productions notamment sur notre territoire. ";;;non;;;;;;non;;;;;;non;;;;;;non;;;
1275;https://france-pat.fr/pat/pat-de-privas-centre-ardeche/;"PAT de la Communauté d’Agglomération Privas Centre Ardèche";Auvergne-Rhône-Alpes;Ardèche;07066,07098,07198,07214,07314,07083,07149,07167,07184,07349,07233,07186,07253,07303,07072,07288,07004,07221,07237,07255,07338,07074,07090,07257,07274,07340,07060,07092,07008,07027,07094,07194,07261,07278,07295,07096,07146,07179,07244,07030,07048,07181;oui;oui;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;oui;"5 groupes de travail thématiques ";;non;;;"Mise en place de 5 groupes de travail thématiques : 
1/ Foncier, installation, transmission 
2/ Agriculture et environnement 
3/ Filières et approvisionnement local 
4/ Accessibilité alimentaire 
5/ Sensibilisation ";;;non;;;;;;non;;;;;;non;;;;;;non;;;;oui;"Rencontre annuelle du PAT";"Action programmée";non;;;"Moment annuel festif du PAT : partage des différentes avancées, recueil des avis du grand public, ateliers de sensibilisation, évènement culturel... ";;;non;;;;;;non;;;;;;non;;;;;;non;;;
1276;https://france-pat.fr/pat/pait-du-bassin-daubenas-val-de-ligne/;"PAiT du Bassin d'Aubenas - Val de Ligne";Auvergne-Rhône-Alpes;Ardèche;07229,07230,07331,07132,07231,07116,07134,07251,07318,07002,07019,07187,07003,07138,07254,07139,07155,07289,07058,07122,07339,07091,07141,07307,07158,07325,07093,07109,07193,07277,07062,07210,07327,07343,07111,07011,07112,07162,07296;oui;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1277;https://france-pat.fr/pat/pait-sud-ardeche/;"PAiT Ardèche Méridionale";Auvergne-Rhône-Alpes;Ardèche;07081,07113,07147,07163,07213,07330,07031,07131,07148,07050,07115,07183,07199,07266,07348,07033,07100,07284,07017,07101,07117,07168,07201,07334,07053,07118,07202,07336,07088,07171,07272,07304,07189,07305,07023,07190,07238,07306,07024,07207,07275,07291,07061,07126,07176,07110,07144,07028,07211,07328,07029,07196,07280,07329;oui;non;oui;"Acteur du Conseil Local de l'Alimentation (PAT 1 - Depuis 2022)";"Action en cours";non;;;"Participation au groupe animateurs PAT et au ateliers du Forum annuel par les élus";;;non;;;;;;non;;;;;;non;;;;;;non;;;;oui;"Soutien à l'organisation d'instances de concertation larges en restauration collective scolaire (PAT 2 - 2025/2029)";"Action programmée";non;"1 commission par établissement";;"Mise en place de commission alimentation avec l'ensemble des acteurs de la communauté éducative et de restauration scolaire. Proposition également retenue (mais non prioritaire pour année 2025) lors de l'atelier alimentation de la COP Ardèche.";;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1278;https://france-pat.fr/pat/pait-arche-agglo-rhone-crussol/;"PAiT de Arche Agglo et Rhône Crussol";Auvergne-Rhône-Alpes;Ardèche;07240,07055,07316,07324,07217,07040,07014,07069,07236,07039,07086,07063,07312,07345,07068,07177,07323,07059,07297,07052,07035,07007,07170,07335,26174,26077,26194,26014,26038,26250,26271,26347,26341,26119,26380,26110,26156,26028,26061,26301,26072,26177,26092,26071,26179,07152,07097,07301,07102,07293,07070,07281,07140,07245;oui;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1279;https://france-pat.fr/pat/pat-ardeche-des-sources-et-volcans/;"PAT de la Communauté de communes Ardèche des Sources et Volcans";Auvergne-Rhône-Alpes;Ardèche;07322,07156,07173,07107,07223,07025,07127,07045,07161,07178,07065,07182,07282,07315,07087,07153;non;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1280;https://france-pat.fr/pat/pat-ardeche-rhone-coiron/;"PAT de la Communauté de communes Ardèche Rhône Coiron";Auvergne-Rhône-Alpes;Ardèche;07302,07157,07191,07076,07283,07219,07270,07260,07022,07298,07300,07332,07020,07319,07005;non;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1281;https://france-pat.fr/pat/pat-d-annonay-rhone-agglo/;"PAT de la Communauté d'agglomération Annonay Rhône Agglo";Auvergne-Rhône-Alpes;Ardèche;07188,07013,07317,07321,07227,07067,07228,07036,07143,07313,07044,07197,07078,07337,07160,07010,07041,07172,07225,07089,07265,07310,07243,07344,07056,07258,07333,07342,07347;non;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1282;https://france-pat.fr/pat/pat-du-bassin-daurillac/;"PAT du Bassin d'Aurillac";Auvergne-Rhône-Alpes;Cantal;15204,15221,15255,15083,15118,15257,15028,15012,15085,15014,15088,15140,15016,15074,15160,15178,15056,15215,15233,15266,15267,15252,15095,15113,15096;oui;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1283;https://france-pat.fr/pat/pat-de-saint-flour/;"PAT de Saint-Flour Communauté";Auvergne-Rhône-Alpes;Cantal;15060,15130,15148,15007,15149,15237,15045,15097,15026,15152,15168,15065,15187,15241,15188,15259,15051,15086,15121,15209,15244,15139,15245,15033,15053,15229,15262,15034,15073,15106,15055,15107,15125,15142,15231,15248,15002,15108,15161,15198,15232,15199,15216,15004,15077,15251,15005,15059,15078,15112,15164,15201,15235;non;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
