"doc";"text.lemma"
"text110";"superficie communauté commun composer surface agricole utile prédominance grand culture céréale grand partie grand partie dédier exportation prairie production toutefois varié présence notable élevage vache laitier volaille porcin ovin caprin exploitation arboriculture quelques exploitation dédier maraîchage apiculture viticulture terme commercialisation dynamique positif exister commerce proximité relais intermédiaire circuit-court amap marché manière général infrastructure présence viable dynamique régional départementale constituer ressource exister réel potentiel développement économique proximité pôle voisin attractif ville note toutefois faible présence outil transformation disponible faiblesse logistique côté consommation interne enquête diagnostic réaliser relever souhait prononcer alimentation local répondant enquête volonté relocalisation traçabilité denrée inclure notable préoccupation santé notion régulièrement citer attente qualité alimentaire réponse attente agir amélioration système alimentaire local premier étape labéllisation pat viser relocaliser alimentation agriculture tout restant suite action pat déployé terrain échange participatif habitant acteur alimentation mettre évidence importance interaction enjeu économie alimentaire santé environnemental restauration collectif éducation alimentaire justice social importance aborder cadre pat manière articuler systémique agir efficacement transition alimentaire communauté commun décider travailler dimension croiser mettre projet faire service vivre-ensemble alimentaire durable orientation traduire plan action délibérer septembre viser favoriser possibilité approvisionnement local qualité dimension justice social restauration collectif économie alimentaire éducation alimentaire développer geste savoir technique service alimentation durable thème principal local adapter rythme vie approcher santé justice social éducation alimentaire promotion offrir local environnement économie alimentaire développer activement mettre lien réseau service lien identité culture alimentaire axe santé économie alimentaire environnement éducation alimentaire"
"text111";"alimentaire territorial pat projet collectif échelle communauté commun viser rapprocher producteur près exploitation transformateur distributeur près point vente commerce alimentaire traditionnel artisan métier bouche vingtaine grand moyen surface épicerie restaurant traditionnel centaine étalage marché collectivité territorial commun communauté commun acteur société civil consommateur près foyer grand situer influence pôle urbain métropole agglomération différence dynamique démographique composition population marquer étirement périurbain population augmenter dense population âgé taux précarité rester important enjeu accès offrir alimentaire qualité population fragile réflexion portage repas accès point distribution produit consommation sein échelle bassin vie pertinent développer action sensibilisation achat alimentaire local auprès habitant achat auprès moyen surface nombre enjeu relocalisation produit alimentaire achat point vente répartir tout maintien important habitant disposer point alimentation rester important économie paysage local actif surface dynamisme ville village bénéficier atout diversité agricole polyculture élevage producteur aop exploitation près total département agriculture tension baisser nombre élevage an problème transmission exploitation main agricole production fruit légume surface agricole végétal produit bio valeur environnemental rester insuffisant répondre loi egalim demander plein évolution consommateur problématique recherche repreneur main agricole devenir enjeu connaissance métier objet axe gpect gestion prévisionnel compétence territorial portée action formation développer tiers nourricier gda marque employeur compétence agriculture marqueur paysage environnement rôle réinterrogé jour habitant enjeu image agricole prendre part important action communication visite découverte fermer très plébiscité mobiliser valorisation produit local mener politique agricole fort élu réaffirmer volonté élaborer stratégie global pat complément stratégie agricole initier déclinaison climat énergie territorial pcaet enjeu circuit court production agricole durable pat intègre thématique transversal inscrire dispositif communautaire contrat local santé successif enjeu nutrition prévention éducation alimentation tout public renforcement lien social démarche contribuer sécurité social alimentaire prévention déchet ménager assimilé enjeu relatif gaspillage alimentaire valorisation biodéchet valider décembre fixer enjeu ensemble acteur tels soutenir agriculture qualité proximité mettre valeur toutes potentialité manger développer part produit local restauration collectif permettre grand nombre accéder alimentation qualité proximité accompagner démarche éducation tous encourager agriculture local diversifier respectueux environnement comité pilotage copil pat créer automne démarrer premier action accompagnement restauration scolaire favoriser introduction produit qualité local nouveau orientation envisager doter enjeu fort constat positif trois an mettre pat envisager poursuivre pilotage mettre place programme action"
"text112";"pat aborder notion alimentation travers paysage si changer façon produire consommer impact paysage cadre vie"
"text113";"grand orientation pat économie local valorisation produit local soutenir développement nouveau activité agricole assurer alimentation qualité habitant préserver foncier agricole tissu rural environnement gestion déchet préserver paysage écosystème local réduire déchet tout long chaîne alimentaire lutter gaspillage alimentaire pat viser sensibiliser habitant alimentation local durable via restauration collectif"
"text114";"pat répondre enjeu lier dynamique disposer grand variété production potentiel nourricier important sensibilisation consommation local permettre valorisation producteur local auprès habitant soutenir pérennité activité agricole présence site touristique majeur arrivée nouvelle véloroute coeur vélo ambition touristique permettre mettre lumière savoir-faire culinaire gastronomique appellation fromager appellation viticole finir lutte précarité alimentaire véritable enjeu pôle précarité important département population vieillissant milieu rural acteur lutte précarité alimentaire innover répondre difficulté approvisionnement mobilité santé lien social"
"text115";"objectif tendre autonomie alimentaire agir structurer filière agricole local permettre tous accéder produit local qualité rendre visible accessible produit restauration collectif magasin restaurateur artisan industrie agroalimentaire tant matière premier"
"text116";"présenter diversité production agricole préserver valoriser contexte dérèglement climatique alimentation local saison qualité développer agir manière cohérent inclusif toute chaîne producteur consommateur"
"text117";"objectif principal pat contribuer transition agriculture alimentation local aller modèle durable carbone répondre enjeu grand enjeu agricole alimentaire rester nourricier diversifier dynamique développer approvisionnement alimentaire local répondre enjeu changement climatique préservation ressource eau contribuer santé habitant tout socle modèle producteur accessible tous consommateur"
"text118";"pat but conduire action destination population local restauration collectif élu changer comportement alimentaire favoriser manger local principal axe soulever mobiliser paysan partenaire sauvegarder richesse foncier installation sensibilisation élu question devenir durable capable soutenir produire local charte qualité promotion métier agriculteur renforcer accès tous alimentation sain durable qualité accompagnement personnel restauration collectif"
"text119";"augmenter part valeur ajouter produire développer structurer filière alimentaire rapprocher production besoin éduquer accompagner consommateur développer approvisionnement produit local restauration collectif promouvoir terroir spécificité local permettre accès tous produit qualité intégrer alimentation accompagnement social personne piloter animer démarche pat communiquer valoriser démarche pat quelques constat enjeu réseau producteur marquer valeur prendre importance pnr exploitation labéliser agriculture-biologique permettre répondre loi egalim restauration collectif desservir produit local qualité pauvre enjeu nourrir ensemble habitant produit qualité pousser niveau autonomie alimentaire assurer reprise exploitation agricole modèle durable taille raisonnable mesure nourrir population préserver maintenir bocage favoriser projet économique service habitant"
"text12";"pat naître volonté fort mettre place politique alimentaire travailler accès équitable alimentation sain local qualité développement tissu économique consommation produit local rapprochement producteur consommateur pérennisation activité agricole renouvellement génération diversification activité agricole développement nouveau filière agricole développement consommation produit local restauration collectif cantine éducation alimentation relativement volonté constat effectuer axe stratégique déterminer pérennisation foncier agricole diversification production développement filière restauration collectif éducation accessibilité alimentaire"
"text120";"objectif principal communauté commun relocaliser alimentation axe stratégique identifier renforcer offrir alimentaire local développer agriculture durable déployer circuit court proximité répartition équilibré améliorer qualité restauration collectif rendre alimentation local qualité accessible tous"
"text122";"situer département caractériser dominant rural principal centre urbain ville concentrer près population essentiel entreprise commerce service équipement bourg former pôle secondaire majoritairement rural dominer agriculture intensif faiblement peupler exception ville agriculture représenter part important économie local entreprise issue domaine agriculture superficie exploiter fin agricole céréale betterave caractériser grand culture prairie étang peupleraie engager rejoindre programme alimentation réfléchir développement circuit court vente point vente collectif développement offrir local production diversifier attente émerger conduire approcher global économie local réseau créer développer acteur local circuit proximité producteur transformateur commerçant citoyen volonté favoriser développement alimentation durable"
"text124";"baisser démographique population population agricole maintien service zone rural mobilité accès service moyenne âge élevé revenir faible"
"text125";"surface agricole représenter caractériser prédominance système polyculture élevage représentant exploitation agricole exploitation taille moyenne premier département surface agricole exploitation maraîchage développer tout agriculture biologique couvrir surface agricole utile recenser atelier maraîchage faible diversification production végétal fruit légume rendre fortement dépendant approvisionnement extérieur répondre besoin produit frais filière agricole majoritairement orienter export limite valorisation local production prix moyen terre agricole estimer hectare département offrir potentiellement opportunité installation toutefois industrie agroalimentaire rester développer quelques structure emblématique telles miko brasserie local restreindre débouché transformation échelle selon étude réaliser cadre scot ménage trouver sous seuil pauvreté contexte pat viser renforcer résilience alimentaire encourageant relocalisation filière développement maraîchage structuration circuit court installation producteur"
"text126";"constat très agricole économie orienter polyculture élevage croissance espace grand culture diversification rester marginal progresser vente exploitation générer etp production brute exploitant an successeur connaître offrir très insuffisant constituer potentiel installation agriculteur demander majoritairement pourvoir constituer débouché local initiative local côté offrir demander rester fragile enjeu clef besoin clef changer échelle créer condition généralisation rencontre offrir demander"
"text127";"pat viser répondre enjeu majeur alimentation environnemental produire consommer alimentation respectueux environnement économique relocaliser alimentation contribuer développement économique social santé permettre accéder alimentation sain qualité"
"text128";"indicateur ficher pat pays lorrain avril indicateur illustrer état général système alimentaire propre lorrain contexte agricole production nombre exploitation agricole structure agricole pat sau moyenne orientation système agricole exploitation majoritairement céréalier prédominance élevage allaiter élevage laitier part exploitation biologique exploitation agriculture biologique conversion surface agricole utile sau agricole terre labourable prairie permanent filière agricole filière viande cheptel bovin vache laitier vache allaitant recul élevage laitier filière lait collecte stable baisser nombre producteur production tournée exportation belgique filière céréale sau dédier céréale oléoprotéagineux principalement export via port filière fruit légume maraîchage pomme terre faible structuration filière circuit court structure pratiquant vente exploitation exploitation agricole vente magasin fermer marché amap distributeur automatique demander alimentaire population habitant fort proportion retraité ouvrier consommation alimentaire tonne an légume pain céréale produit laitier principal produit consommer budget alimentaire annuel dépense consacré viande restauration collectif repas jour établissement public privé accessibilité alimentaire taux pauvreté zone fort hausse demander aide alimentaire structure aide alimentaire banque alimentaire épicerie social resto association local enjeu perspective renouvellement exploitation agricole taux relever exploitation laitier relocalisation alimentation besoin structurer filière local développer outil transformation commercialisation précarité alimentaire nécessité renforcer lien producteur local association aide alimentaire indicateur mettre lumière force faiblesse opportunité menace système alimentaire tout identifier levier action améliorer adéquation offrir demander diagnostic alimentaire agricole pat lorrain"
"text129";"porte pilote alimentaire reconnaître nationalement juin objectif principal gaspillage alimentaire ancrage territorial mettre valeur patrimoine alimentaire vouloir diversifier action approcher tous public enjeu proposer acteur atelier réaliser février mars tendre zéro gaspillage tendre autonomie alimentaire responsable territorial accompagner nutrition varier durable favoriser accès tous alimentation qualité"
"text13";"situer interface massif central vallée agglomération distinguer système agricole riche diversifier plateau haut vallée production principal inclure châtaigne élevage brebis viande vache lait viande fonds vallée condition favorable culture fruit légume culture fourrager vallée viticulture implanter vallée arboriculture occuper place important plaine marquer fort activité céréalier production agricole confronter diminution continuer surface agricole utile grand partie lier consommation foncier masquer artificialisation sol conjointement phénomène concentration terre conduire agrandissement exploitation existant conséquence baisser nombre actif agricole chef exploitation face défi alimentaire territorial pat fixe objectif préserver protéger remobiliser surface agricole assurer renouvellement génération agricole accompagner adaptation agriculture changement climatique transformation distribution observer tendance transformation fermer atelier transformation moyen grand taille implanter toutefois relief complexe imposer contraint logistique important filière rester fragile insuffisamment développer matière distribution grand moyen surface gms commerce proximité couvrir relativement canal constituer toujours débouché produit local restauration collectif repas servir quotidiennement secteur obstacle freiner approvisionnement produit local mode gestion faible coût achat denrée alimentaire méconnaissance offrir local répondre enjeu pat viser faciliter mettre relation offrir demander accompagner structuration filière territorialisé développer approvisionnement local durable restauration collectif consommation volet consommation enjeu majeur pat garantir accès grand nombre produit local qualité contexte population vivre sous seuil pauvreté parallèle augmentation maladie trouble lier alimentation mettre lumière nécessité sensibiliser accompagner consommateur pat souhaiter lutter précarité alimentaire engager réflexion collectif choix alimentaire sensibiliser grand nombre impact environnemental sanitaire social consommation information site internet pat centre vidéo explicatif pat centre"
"text131";"synonyme emploi local alimentation riche varier filière agricole agro-alimentaire soulever inquiétude urbanisation terre agricole difficulté accès foncier désintérêt nouveau génération filière endettement exploitation renouvellement dirigeant exploitation perturbation écosystème renforcement inégalité matière accès alimentation sain qualité développement maladie lier bouleversement habitude alimentaire obésité diabète face constat question transition agricole alimentaire durable devenir priorité acteur producteur élu consommateur eurométropole porter ambition réinventer modèle vertueux égalitaire alimentaire territorial viser renforcer lien existant acteur agriculture alimentation rechercher nouveau solution répondre conjointement problématique identifier"
"text133";"choix élaborer alimentaire territorial objet valoriser agriculture local développer alimentation qualité proximité accessible tous diagnostic réaliser atelier concertation donner lieu plan action action dire mature émerger accompagnement collectif pisciculteur création outil transformation mutualiser permettre valoriser manière alimentaire poisson étang appui développement approvisionnement local qualité restauration collectif appui collectif producteur laitier élaboration gamme produit laitier local développement offrir alimentaire local projet reconnaître pat niveau émerger mars"
"text134";"dimension économique secteur agricole peser emploi entreprise prépondérance terme surface constituer exploitation majorité prairie élevage bovin grand culture céréalier sau total consacrer agriculture biologique surface agricole utile hectare augmenter nombre exploitation baisser traduire tendance développement grand exploitation enjeu maintien accompagnement activité agricole confronter très foncier disponible retraite agricole venir difficulté recrutement tous secteur activité difficulté installation agriculteur exploitation grand coût investissement trop élevé principal enjeu maintien activité agricole dimension environnemental émission gaz serrer ges tonne équivalent co élever tonne équivalent co habitant impact carbone inférieur moyen national régional émission baisser correspondant atteindre objectif national initialement fixer principalement lier consommation énergie secteur agricole émission majoritairement énergétique élevage sol préservation espace naturel agricole qualité maintien forêt prairie plantation haie représenter enjeu important optique neutralité carbone objectif national adaptation changement climatique milieu naturel agriculture enjeu développement local principal enjeu accompagner développement agriculture durable proximité favoriser préservation qualité milieu séquestration carbone dimension sanitaire social connaître baisser démographique exacerber baisser nombre naissance taux mortalité agglomération supérieur moyenne national vieillissement population confirmer taux activité rester faible sein agglomération sein région partie zone emploi taux chômage élevé trimestre revenir médian faible agglomération fort disparité sein agglomération région revenir médian respectivement décès annuel près évitable améliorer pratique prévention primaire alimentation activité physique constituer déterminant majeur état santé population agir principal enjeu améliorer accessibilité alimentation sain local qualité tous développer éducation alimentaire lutter gaspillage alimentaire"
"text135";"manger faim manger produire durablement produire développer économie culture rien gâcher"
"text136";"plaine plateau mixte arrondissement porte ensemble pat axe stratégique établir phase concertation territorial accompagnement agriculteur agriculture résilient rémunérateur pourvoyeur emploi fédération ensemble acteur alimentation développement culture alimentation sain local responsable"
"text14";"enjeu principal identifier grâce travail terrain mener auprès tous acteur compilation étude produire atelier concertation réaliser quarantaine acteur tous horizon moyenne montagne contraster enclavé disposer grand richesse étendre vallée plateau passer pente périmètre cheval commun majoritairement rural quelques commun urbain pôle économique porter habitant préservation foncier agricole face dynamique conjuguer déprendre artificialisation relief contraster induire mosaïque agricole composer petit exploitation qualitatif diversifier indication géographique respectueux environnement fortement menacer urbanisation croissant déstructurer mitage rétention foncier apparition enjeu énergie renouvelable changement climatique installation porteur projet attirer difficile nécessaire voir renouvellement population agricole exploitant an diversité production propice alimentation local suffisant niveau volume problème approvisionnement secteur restauration collectif apparaître accroître contraint logistique important représentativité viticulture plaine limite développement production alimentaire vivrier remobilisation foncier agricole disponible production fondamental travers portage collégial action produit identitaire plébisciter visiteur identité consolider bénéficier culture citoyen alimentaire fort lier patrimoine agricole historique pratique ancrer consommer local attachement production biologique jardin potager circuit court tissu associatif très dense actif exister foisonnement initiative projet produit alimentaire local demander consommateur connaître alimentation prégnant agritourisme constituer sentir potentiel tourisme durable exploiter jour destination touristique reconnaître dimension plein nature qualité paysage authenticité consommation alimentaire exploser offrir service hôtellerie plein air restauration traditionnel population population secteur agroalimentaire dynamique fragiliser soutenir adapter vivier entreprise agroalimentaire dense diversifier exister hériter passer agricole important particulier arboricole délaisser suite concurrence déprendre agricole entreprise rayonnement local atelier découper mutualiser producteur rayonnement mondial crème châtaigne maillon indispensable système vital économie local industrie agroalimentaire premier employeur fragiliser mutation entreprise premier coopératif fruitier année exporter production étranger renouveler stratégie économie fortement marquer saisonnalité activité touristique agricole dynamiser extrême dormance hiver carrefour démographique industriel potentiel demander renforcer besoin marquer justice alimentaire population revenir modeste pauvreté taux chômage très élevé illustrer fracture social alimentaire important creuser caractéristique géographique démographique pouvoir achat faible offrir emploi pérenne difficile trouver saisonnalité économie initiative local exister association habitant manquer coordination restauration collectif apparaître levier équité justice alimentaire social particulier introduction loi egalim or répartir petit structure particulier école manquant information moyen rendre difficile toute tentative changement organisationnel mettre conformité loi répandre pratique jardin familial partager autoproduction connaître regain intérêt crise sanitaire structure souhaiter mettre place"
"text140";"contexte pression foncier important agglomération apparaitre activité agricole diminuer essentiellement tournée modèle industriel dépendant marché mondialisé également large partie sensible érosion surface agricole situer périmètre captage pratique agricole incidence question contexte agricole difficile besoin reconnaissance valorisation métier agriculteur bénéfice apporter important quelques chiffre clé population urbain rural exploitation an exploitant âge partir retraite part céréale sau passer agglomération intérêt agir maintenir agriculture source emploi créer débouché économique monde rural via filière rémunérateur répondre enjeu répondre fort demander produit local consommateur préserver ressource eau meilleur connaissance mutuel cohabitation harmonieux agriculteur habitant préserver qualité paysagère habitant favoriser attractivité touristique"
"text141";"faire faire cohésion faire transition agir ensemble alimentation vallée piémont ville ruralité mobiliser coordonner piloter initiative faveur alimentaire sain durable local appuyer diagnostic qualitatif quantitatif relayer acteur terrain public privé pat articuler ambition économique créer contexte favorable développement valorisation production local lien voisin environnemental écologique inscrire climat répondre enjeu alimentation durable face changement climatique sanitaire social cadre contrat local santé favoriser accès grand nombre alimentation sain produit qualité ancrage territorial projet assurer grâce acteur impliquer gouvernance participatif multipartenarial démarche ascendant projet existant émergence venir grâce expérience animation rôle fédérateur pat adresse ensemble population consomacteur jeune public acteur économique production commercialisation monde associatif pat permettre coordination pilotage action valorisation pérennisation"
"text142";"rural forêt prairie biodiversité riche revitalisation économique ancrer ressource donner identité territorial fort partie situer pnr écotourisme produit fort typicité"
"text143";"face problème enjeu domaine système alimentaire couvrir dimension économique environnemental social santé programme alimentaire territorial pat mettre place répondre défi manière global intégrer dimension économique agriculture fragiliser faire face pression économique secteur agricole raison mondialisation concurrence international fluctuation prix départ retraite exploitant menacer secteur agricole encourager agrandissement exploitation restant dépendance surface concentration vente grand surface entraîner défi petit producteur local terme négociation prix distribution dimension environnemental perte biodiversité agriculture intensif contribuer perte biodiversité affecter qualité sol diversité écosystème consommation ressource pratique agricole alimentaire pouvoir entraîner consommation excessif eau énergie utilisation pesticide contribuer problème environnemental dimension social accès alimentation qualité segment population pouvoir accès limiter alimentation sain raison contraint économique disponibilité produit dimension santé alimentation déséquilibrer public précaire risque problème santé tels obésité maladie cardiaque diabète lier alimentation qualité produit préoccupation lier qualité produit alimentaire présence pesticide additif pouvoir impacter santé consommateur"
"text144";"diagnostic alimentaire cours"
"text145";"système agricole alimentaire métropolitain marquer caractère périurbain cohabitation zone urbain très dense surface agricole étendue proximité bassin consommation important présence grand entreprise agro-alimentaire atout activité agricole environnement périurbain surface agricole utile moyenne exploitation petit éclatement parcellaire engendrer condition exploitation complexe nécessiter adaptabilité rareté foncier coût investissement élevé rendre nouveau installation particulièrement difficile peser risque renouvellement exploitation agricole secteur agricole fragiliser maraîchage élevage tendance diminution diversité orientation agricole insuffisant transition agroécologique partie facteur contribuer uniformisation paysage dégradation sol biodiversité aggravation pression ressource eau parallèlement année inflation peser coût production générer prix vente difficilement absorbable majeur partie habitant rencontrer difficulté accéder alimentation sain qualité agriculteur peiner dégager rémunération suffisant grand partie création valeur absorber transformation distribution produit tiers facteur instabilité économique social sanitaire climatique peser incertitude exploitant système alimentaire faire face changement climatique nécessaire engager action permettre exploitation adapter pratique culture économe eau intrant résilient contexte très évolutif contribuer sécuriser activité agricole fonction nourricier accompagner transition agroécologique structuration filière tendre agriculture alimentation durable février actualiser stratégie agricole alimentaire concrétiser ambition politique définir pat prendre engagement cadre pacte réciprocité aider monde agricole préserver activité inciter opérer transformation nécessaire système production durable accompagner commun gestion quotidien lien ville campagne projet agricole alimentaire restauration collectif préserver fonction nourricier local service métropolitain souveraineté alimentaire national"
"text146";"résolument engager élaboration projet alimentaire territorial démarche phase dynamique projet adopter octobre projet ambition adapter orienter transformer politique communautaire affronter grand transition siècle but porter vision anticiper défi présenter créer condition résilience territorial optimal transformation profond société crise sanitaire mettre évidence vulnérabilité population homme femme décéder an pathologie cardio-vasculaire diabète cas surcharge insuffisance pondéral lier mauvais alimentation partie principal cause mortalité évitable important besoin matière qualification habitant indice développement humain très dégrader trois composant revenir niveau diplôme mortalité précoce comportement voir voir vaccination révéler manquer accessibilité information déficit formation citoyen dépendance économie importation médicament dispositif médical produit alimentaire premier nécessité écho orientation projet plan alimentaire territorial répondre enjeu transversal triple objectif préserver valoriser capital commun développement consommation produit local qualité valorisation mode production agroécologique préservation eau paysage lutte gaspillage alimentaire maintien préservation paysage agricole adapter stratégie développement économique maintien valeur ajouter incitation installation agriculteur protection espace cultivé développer citoyen éducation alimentaire formation consommateur responsable création lien accessibilité politique public denrée développement don alimentaire inclusion innovation social objectif préciser climat énergie territorial pcaet contrat local santé"
"text149";"labéliser alimentaire territorial pat communauté commun mettre politique alimentation sain durable local accessible tous objectif pat aller changement modèle alimentaire cycle production consommation contribuer former boucle vertueux champ assiette alimentation lier intrinsèquement santé tous citoyen citoyen accès alimentation sain durable local agriculteur agriculteur valoriser accentuer pat éducation sensibilisation public promotion valorisation circuit-court patrimoine alimentaire contribuer transition écologique atteindre objectif loi egalim développement circuit-court accessibilité tous mode consommation responsable intensification lutte gaspillage alimentaire mettre engagement continuer changement système alimentaire responsable plan action adapter définir"
"text15";"pai méridional tout rural peupler majeur partie année attractivité touristique estival baser espace naturel culturel grand qualité patrimoine unesco grotte géoparc nuance propos quelques mois année habitant août méridional caractériser agriculture qualité polyvalent diversifier ancrer agriculteur maîtriser suivre élevage culture exploitation près atelier jeune installer miser diversité débouché paysan composer climat capricieux inondation sécheresse incendie glissement terrain paysage rude pente plateau calcaire toutes commun périmètre aléa incendie forêt milieu semi couvrir agriculteur fabriquer produit certifier labéliser aop igp agriculture-biologique hve issu premier transformation fermer outil collectif privé public vente réalité ancien marché plein vent magasin producteur tous premier créer bourrer agriculteur réaliser promotion activité travers outil valorisation pédagogique capacité tous front atout majeur témoigner grand adaptation long usant si soutenir méridional souffrir grand partie déficit production maraicher enjeu vendre pouvoir fournir légume habitant permanent public touristique parallèlement souffrir grand précarité taux pauvreté aller suivant communauté commun aggraver zone rural mobilité accès alimentation famille mono parental riche acteur investir transition alimentaire titre acteur public associatif privé dynamisme diversité permettre développer pouvoir pérenniser stratégie alimentaire"
